Model,Accuracy,Precision,Recall,F1,LogLoss
Baseline Logistic Regression (standardized),0.8737417313776243,0.7601977750309014,0.7151162790697666,0.7369682444572587,0.2712598494160101
Ordinary Soft Decision Tree (standardized),0.9327006039689387,0.8717339667458421,0.8534883720930222,0.8625146886011441,0.16819915731636562
Scaled Soft Decision Tree (standardized),0.9401783146390567,0.8826291079812196,0.8744186046511617,0.8785046728966951,0.14657284345127383
